Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	242	663.284	454.754	
	243	666.376	453.633	
	244	669.454	453.359	
	245	672.602	453.297	
	246	675.627	453.292	
	247	678.638	453.295	
	248	681.096	453.009	
	249	683.887	452.987	
	250	686.753	453.112	
	251	689.304	453.166	
	252	691.647	453.540	
	253	693.652	453.355	
	254	695.757	453.101	
	255	697.461	453.366	
	256	698.993	453.464	
	257	699.988	453.347	
	258	700.548	453.329	
	259	701.280	453.379	
	260	702.159	453.344	
	261	703.084	453.183	
	262	704.244	452.837	
	263	705.923	452.794	
	264	707.686	452.034	
	265	709.728	451.539	
	266	712.022	451.225	
	267	714.745	451.004	
	268	718.232	451.007	
	269	721.917	450.968	
	270	725.992	450.800	
	271	730.499	450.968	
	272	735.661	450.841	
	273	741.109	450.739	
	274	746.476	450.953	
	275	751.916	450.977	
	276	756.920	450.392	
	277	761.508	449.073	
	278	765.564	447.672	
	279	770.028	446.111	
	280	775.096	445.264	
	281	780.185	445.288	
	282	784.675	445.424	
	283	784.675	445.424	
	284	788.729	444.197	
	285	792.993	443.186	
	286	797.344	442.396	
	287	802.117	441.246	
	288	806.148	440.492	
	289	810.760	439.951	
	290	815.018	438.964	
	291	819.022	438.181	
	292	823.017	437.622	
	293	826.989	436.125	
	294	830.214	434.703	
	295	834.599	432.792	
	296	837.002	431.056	
	297	841.130	429.015	
	298	845.817	427.113	
	299	851.025	425.372	
	300	855.642	424.364	
	301	860.630	423.858	
	302	866.219	423.810	
	303	872.240	423.753	
	304	878.065	424.450	
	305	884.120	424.986	
	306	891.039	425.818	
	307	897.345	426.806	
	308	904.530	428.072	
	309	910.581	430.131	
	310	915.521	432.845	
	311	919.948	435.017	
	312	923.973	435.862	
	313	927.008	434.996	
	314	929.621	432.087	
	315	931.353	428.658	
	316	932.303	425.128	
	317	934.830	422.707	
	318	935.317	421.929	
	319	935.870	422.323	
	320	936.280	423.717	
	321	936.445	424.916	
	322	936.435	425.140	
	323	937.491	424.060	
	324	937.717	421.535	
	325	937.748	418.593	
	326	935.970	416.065	
	327	934.786	413.842	
	328	932.528	411.598	
	329	930.359	409.397	
	330	927.854	408.133	
	331	924.321	407.522	
	332	920.930	407.040	
	333	916.831	407.168	
	334	912.581	407.386	
	335	908.195	408.112	
	336	904.090	409.647	
	337	899.926	411.126	
	338	896.161	412.146	
	339	892.492	412.243	
	340	888.876	411.132	
	341	885.166	408.836	
	342	880.518	406.371	
	343	875.825	404.387	
	344	870.825	403.691	
	345	865.774	403.677	
	346	862.237	403.668	
	347	859.258	403.406	
