Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	255	943.949	278.369	
	256	946.029	278.596	
	257	947.779	278.553	
	258	949.116	278.768	
	259	950.097	278.282	
	260	950.853	278.127	
	261	951.136	278.113	
	262	951.447	277.852	
	263	951.674	278.116	
	264	952.185	277.858	
	265	952.837	277.859	
	266	953.586	277.849	
	267	954.530	277.565	
	268	955.530	277.573	
	269	956.558	277.344	
	270	957.558	277.353	
	271	958.555	277.353	
	272	959.061	277.375	
	273	959.567	277.354	
	274	959.957	277.241	
	275	960.113	277.127	
	276	960.249	276.996	
	277	960.252	276.989	
	278	960.304	276.897	
	279	960.329	276.825	
	280	960.194	276.698	
	281	960.032	276.514	
	282	959.801	276.402	
	283	959.503	276.778	
	284	958.638	277.725	
	285	958.147	278.830	
	286	957.179	280.741	
	287	956.082	281.463	
	288	954.944	281.272	
	289	954.063	280.409	
	290	953.514	279.194	
	291	953.335	278.510	
	292	953.488	277.657	
	293	953.613	277.184	
	294	953.848	276.488	
	295	953.926	275.304	
	296	953.784	274.659	
	297	953.556	273.772	
	298	953.232	273.567	
	299	952.809	273.123	
	300	952.482	272.909	
	301	952.028	272.463	
	302	951.435	272.080	
	303	950.501	271.876	
	304	949.274	271.453	
	305	947.500	271.459	
	306	945.564	271.152	
	307	943.306	270.918	
	308	940.779	270.927	
	309	938.273	270.566	
	310	935.253	270.771	
	311	932.102	270.469	
	312	928.958	270.203	
	313	925.878	269.789	
	314	922.879	269.304	
	315	919.913	269.005	
	316	916.997	268.520	
	317	913.992	267.921	
	318	911.223	267.661	
	319	908.512	267.183	
	320	906.002	266.939	
	321	903.981	266.771	
	322	902.166	266.626	
	323	900.899	266.167	
	324	899.800	265.623	
	325	899.309	264.940	
	326	899.079	264.248	
	327	899.083	263.732	
	328	899.310	263.055	
	329	899.734	262.323	
	330	900.468	261.818	
	331	901.457	261.234	
	332	902.655	260.712	
	333	904.294	259.740	
	334	906.028	258.983	
	335	908.123	258.073	
	336	910.246	257.279	
	337	912.621	256.133	
	338	915.070	254.786	
	339	917.223	253.621	
	340	919.583	252.036	
	341	921.576	251.051	
	342	923.584	249.719	
	343	925.502	248.518	
	344	927.334	247.517	
	345	928.813	246.751	
	346	930.210	246.303	
	347	931.682	245.545	
	348	933.098	244.783	
	349	934.341	244.487	
	350	935.787	243.941	
	351	937.001	243.459	
	352	938.313	243.106	
	353	939.512	242.834	
	354	940.478	242.742	
	355	941.562	242.486	
	356	942.529	242.304	
	357	943.402	242.021	
	358	944.247	241.845	
	359	944.818	241.714	
	360	945.614	241.561	
	361	946.107	241.328	
	362	946.548	241.190	
	363	947.071	241.125	
	364	947.377	240.858	
	365	947.688	240.611	
	366	947.683	240.435	
	367	947.646	240.329	
	368	947.379	240.329	
	369	946.894	239.955	
	370	946.241	239.774	
	371	945.378	239.703	
	372	944.293	239.675	
	373	943.127	239.619	
	374	941.842	239.626	
	375	940.363	239.694	
	376	938.749	239.816	
	377	937.141	240.028	
	378	935.445	240.088	
	379	933.685	240.128	
	380	931.739	240.429	
	381	929.781	240.412	
	382	927.682	240.713	
	383	925.363	240.597	
	384	923.140	240.589	
	385	920.685	240.410	
	386	918.438	240.191	
	387	916.223	239.931	
	388	913.941	239.885	
	389	911.932	239.639	
	390	909.902	239.385	
	391	908.122	239.410	
	392	906.228	239.385	
	393	904.461	239.395	
	394	902.617	239.670	
	395	900.849	239.888	
	396	899.252	240.047	
	397	897.997	239.792	
	398	897.017	239.554	
	399	896.498	239.045	
	400	896.241	238.669	
	401	896.219	238.349	
	402	896.291	238.084	
	403	896.617	237.762	
	404	896.810	237.513	
	405	896.985	237.309	
	406	897.261	236.737	
	407	897.475	236.190	
	408	897.507	235.772	
	409	897.535	235.278	
	410	897.412	234.660	
	411	897.205	234.316	
	412	896.715	233.549	
	413	896.181	233.049	
	414	895.462	232.234	
	415	894.820	231.411	
	416	893.994	230.319	
	417	893.283	229.265	
	418	892.485	228.180	
	419	891.734	227.147	
	420	890.973	226.340	
	421	890.543	225.453	
	422	889.970	224.745	
	423	889.661	224.171	
	424	889.403	223.433	
	425	889.353	222.855	
	426	889.295	222.268	
	427	889.536	221.828	
	428	889.746	221.406	
	429	890.100	220.885	
	430	890.357	220.519	
	431	890.823	220.009	
	432	891.187	219.540	
	433	891.683	218.964	
	434	892.190	218.312	
	435	892.440	218.054	
	436	892.721	217.578	
	437	892.952	217.323	
	438	893.089	217.074	
	439	893.220	216.781	
	440	893.203	216.541	
	441	893.156	216.179	
	442	893.114	215.760	
	443	892.892	215.688	
	444	892.678	215.631	
	445	892.456	215.618	
	446	892.248	215.499	
	447	892.074	215.487	
	448	891.875	215.493	
	449	891.691	215.494	
	450	891.660	215.703	
	451	891.915	215.437	
	452	891.929	215.649	
	453	892.479	215.444	
	454	892.976	215.633	
	455	893.564	215.652	
	456	894.343	215.629	
	457	895.103	215.751	
	458	895.846	215.720	
	459	896.576	215.598	
	460	897.176	215.559	
	461	897.660	215.060	
	462	897.894	215.060	
	463	897.998	214.871	
	464	898.004	214.935	
	465	897.628	215.072	
	466	896.980	215.447	
	467	896.422	215.759	
	468	895.910	215.896	
	469	895.440	216.779	
	470	895.173	217.131	
	471	895.314	217.348	
	472	895.421	217.685	
	473	895.486	217.932	
	474	895.469	218.082	
	475	895.462	218.192	
	476	895.267	218.630	
	477	895.031	219.104	
	478	895.024	219.419	
	479	895.306	219.735	
	480	895.833	219.956	
