Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	249	851.176	336.086	
	250	853.785	338.418	
	251	856.48	342.18	
	252	859.309	346.289	
	253	861.684	352.473	
	254	863.676	359.953	
	255	864.746	368.789	
	256	864.938	378.77	
	257	865.578	391.113	
	258	865.605	404.109	
	259	865.469	418.227	
	260	864.668	431.422	
	261	864.199	445	
	262	862.754	457.473	
	263	861.562	470.113	
	264	859.977	481.414	
	265	858.172	491.688	
	266	856.996	500.758	
	267	855.996	507.812	
	268	855	512.668	
	269	854.406	515.582	
	270	854.242	516.812	
	271	854.301	517.484	
	272	854.84	517.535	
	273	855.297	517.602	
	274	856.805	518.477	
	275	858.082	519.613	
	276	860.012	522.703	
	277	860.961	525.742	
	278	862.148	528.625	
	279	863.895	531.504	
	280	864.996	533.746	
	281	866.113	537.504	
	282	867.16	541.555	
	283	869.012	545.754	
	284	870.184	549.484	
	285	871.172	549.629	
	286	871.918	548.66	
	287	871.926	547.613	
	288	871.008	547.465	
	289	869.926	546.691	
	290	869.086	547.551	
	291	868.867	548.57	
	292	868.188	548.613	
	293	867.883	547.688	
	294	867.062	546.672	
	295	866.953	546.551	
	296	866.938	546.555	
	297	867.066	546.676	
	298	867.117	545.723	


End of Keyframe Data
