Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	237	899.668	474.527	
	238	893.162	474.524	
	239	886.913	474.531	
	240	879.957	474.168	
	241	872.947	473.139	
	242	867.013	472.127	
	243	860.686	471.069	
	244	854.223	469.583	
	245	848.057	468.459	
	246	841.958	468.032	
	247	835.926	467.822	
	248	829.653	467.717	
	249	824.375	467.758	
	250	818.629	467.647	
	251	813.656	467.286	
	252	808.864	466.259	
	253	803.248	465.037	
	254	798.230	462.885	
	255	794.400	461.753	
	256	788.932	460.203	
	257	783.453	458.599	
	258	777.711	456.563	
	259	772.693	455.570	
	260	767.206	454.814	
	261	761.316	454.685	
	262	755.194	454.792	
	263	748.704	455.357	
	264	742.760	456.171	
	265	735.514	456.409	
	266	727.545	456.740	
	267	721.425	457.416	
	268	713.956	457.613	
	269	707.813	457.452	
	270	702.049	456.760	
	271	696.944	455.778	
	272	692.059	454.592	
	273	688.737	454.297	
	274	683.779	454.574	
	275	678.547	455.261	
	276	675.886	457.860	
	277	670.698	459.538	
	278	663.207	460.092	
	279	662.039	460.895	
	280	659.083	460.340	
	281	657.856	459.862	
	282	656.665	459.091	
	283	655.974	458.193	
	284	654.500	457.084	
	285	651.908	455.987	
	286	649.179	455.820	
	287	646.174	455.816	
	288	643.620	455.875	
	289	641.383	455.905	
	290	640.729	455.984	
	291	640.457	455.611	
	292	640.850	454.999	
	293	642.106	455.018	
	294	643.786	455.085	
	295	645.306	455.107	
	296	647.444	455.887	
	297	649.358	456.219	
	298	651.292	456.417	
	299	654.248	456.627	
	300	656.995	456.216	
	301	660.274	455.635	
	302	663.201	454.745	
	303	666.293	453.619	
	304	669.369	453.341	
	305	672.516	453.277	
	306	675.543	453.272	
	307	678.553	453.271	
	308	680.999	452.977	
	309	683.797	452.963	
	310	686.662	453.078	
	311	689.213	453.131	
